trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1155,False,"{'a': 0.5, 'e': 0.8378300943856019}",25,0,-80.14736592311178,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
1156,False,"{'a': 0.5, 'e': 0.8375570241333301}",25,12,-85.70289755856003,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 2}",1
1157,False,"{'a': 0.5, 'e': 0.8372837444918066}",20,0,-66.60749156602971,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
1158,False,"{'a': 0.5, 'e': 0.8370102555293514}",20,2,-84.34946382988416,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 1}",1
1159,False,"{'a': 0.5, 'e': 0.8367365573143366}",25,8,-100.87629095348542,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 2}",1
1160,False,"{'a': 0.5, 'e': 0.8364626499151869}",20,0,-35.838731698136236,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
1161,False,"{'a': 0.5, 'e': 0.8361885334003791}",20,0,-38.45300086974448,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
1162,False,"{'a': 0.5, 'e': 0.8359142078384423}",20,0,-93.26938076145163,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
1163,False,"{'a': 0.5, 'e': 0.8356396732979579}",20,0,-149.46127114541054,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
1164,False,"{'a': 0.5, 'e': 0.8353649298475595}",20,13,-5.178404620483727,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
1165,False,"{'a': 0.5, 'e': 0.835089977555933}",20,0,-45.472376228565196,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
1166,False,"{'a': 0.5, 'e': 0.8348148164918164}",20,5,-88.15070618578234,"{0: 8, 1: 2, 2: 3, 3: 1, 4: 1}",1
1167,False,"{'a': 0.5, 'e': 0.834539446724}",20,11,-23.61837537168948,"{0: 4, 1: 4, 2: 1, 3: 0, 4: 0}",1
1168,False,"{'a': 0.5, 'e': 0.8342638683213264}",20,0,-49.80166072579404,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
1169,False,"{'a': 0.5, 'e': 0.83398808135269}",20,0,-82.04037129358221,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
1170,False,"{'a': 0.5, 'e': 0.8337120858870376}",25,2,-133.71991976429908,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 3}",1
1171,False,"{'a': 0.5, 'e': 0.833435881993368}",25,8,-27.706383190093064,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
